sim_id,persona,archetype_id,category,question,coverage,source_docs
1337,Solo Scout,Q040,Developer,Why Vite/React instead of Next.js?,yes,decisions/ADR-001-stack-choice.md
1338,Builder / Operator,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1339,Hauler,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1340,Solo Scout,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
1341,Tribe Member,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
1342,Tribe Member,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
1343,Tribe Officer,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
1344,Hauler,Q033,Map/Bridge,Can it detect my current system?,partial,phases/phase-10-map-and-bridge.md
1345,Tribe Member,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
1346,Hauler,Q054,Support,What if access code login fails?,partial,architecture/03-viewer-context.md
1347,Developer / Maintainer,Q048,Backend,How are permissions enforced?,yes,architecture/08-security-and-permissions.md
1348,New Player,Q059,Support,Can I make a Signal public later?,partial,architecture/08-security-and-permissions.md
1349,Intel Analyst,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
1350,Intel Analyst,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
1351,Builder / Operator,Q048,Backend,How are permissions enforced?,yes,architecture/08-security-and-permissions.md
1352,Builder / Operator,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
1353,Tribe Officer,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
1354,Builder / Operator,Q008,Object Resolution,What does manual vs verified mean?,yes,architecture/04-entity-resolution.md
1355,Hauler,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1356,Builder / Operator,Q009,Object Resolution,What if two sources disagree about object type?,yes,architecture/04-entity-resolution.md
1357,Hauler,Q043,Developer,What is the repo structure?,yes,implementation/00-repo-structure.md
1358,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1359,New Player,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1360,Tribe Officer,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1361,Builder / Operator,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
1362,New Player,Q053,Support,How do I recover lost local drafts?,partial,phases/phase-06-local-first-sync.md
1363,Hauler,Q052,Privacy,Who owns tribe data?,gap,phases/phase-08-tribe-vault.md
1364,Intel Analyst,Q019,Dossiers,Can Signal Vault track markets?,yes,product/02-feature-to-gameplay-map.md; architecture/05-signal-domain-model.md
1365,Intel Analyst,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
1366,New Player,Q058,Support,What happens if my tribe changes?,gap,architecture/03-viewer-context.md; phases/phase-08-tribe-vault.md
1367,New Player,Q008,Object Resolution,What does manual vs verified mean?,yes,architecture/04-entity-resolution.md
1368,New Player,Q004,Identity/Auth,Does Signal Vault know my EVE character automatically?,partial,architecture/03-viewer-context.md; phases/phase-07-eve-frontier-integration.md
1369,Intel Analyst,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1370,New Player,Q003,Identity/Auth,How do I log in inside the EVE Frontier in-game browser?,yes,architecture/03-viewer-context.md
1371,Solo Scout,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
1372,Solo Scout,Q057,Support,Can I transfer private notes to another character?,gap,architecture/03-viewer-context.md
1373,New Player,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
1374,Tribe Member,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
1375,Tribe Member,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
1376,Hauler,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
1377,Tribe Member,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
1378,Solo Scout,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
1379,New Player,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
1380,Builder / Operator,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1381,Hauler,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1382,Tribe Officer,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1383,Hauler,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
1384,Solo Scout,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
1385,Builder / Operator,Q003,Identity/Auth,How do I log in inside the EVE Frontier in-game browser?,yes,architecture/03-viewer-context.md
1386,Hauler,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1387,Hauler,Q032,Map/Bridge,Will this replace EF-Map?,yes,product/01-product-thesis.md; decisions/ADR-006-no-graph-first.md
1388,New Player,Q010,Object Resolution,Can Signal Vault infer gate/storage/turret type from chain data?,partial,architecture/04-entity-resolution.md; phases/phase-07-eve-frontier-integration.md
1389,Tribe Member,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1390,Builder / Operator,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
1391,Hauler,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1392,Tribe Officer,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
1393,Solo Scout,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
1394,New Player,Q004,Identity/Auth,Does Signal Vault know my EVE character automatically?,partial,architecture/03-viewer-context.md; phases/phase-07-eve-frontier-integration.md
1395,Solo Scout,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
1396,Solo Scout,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
1397,Solo Scout,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1398,Tribe Member,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
1399,Solo Scout,Q032,Map/Bridge,Will this replace EF-Map?,yes,product/01-product-thesis.md; decisions/ADR-006-no-graph-first.md
1400,New Player,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
1401,Intel Analyst,Q030,Tribe Vault,Can every tribe define its own trust rules?,partial,phases/phase-11-frontierwarden-integration.md
1402,Tribe Officer,Q052,Privacy,Who owns tribe data?,gap,phases/phase-08-tribe-vault.md
1403,Tribe Member,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
1404,New Player,Q009,Object Resolution,What if two sources disagree about object type?,yes,architecture/04-entity-resolution.md
1405,Solo Scout,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
1406,Solo Scout,Q045,Developer,Can an AI assistant rewrite App.tsx into a giant file?,yes,implementation/09-ai-coding-guardrails.md
1407,New Player,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
1408,Hauler,Q032,Map/Bridge,Will this replace EF-Map?,yes,product/01-product-thesis.md; decisions/ADR-006-no-graph-first.md
1409,Hauler,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
1410,Solo Scout,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
1411,Intel Analyst,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
1412,Solo Scout,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
1413,Intel Analyst,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
1414,Intel Analyst,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
1415,Builder / Operator,Q040,Developer,Why Vite/React instead of Next.js?,yes,decisions/ADR-001-stack-choice.md
1416,Intel Analyst,Q055,Support,What if the in-game browser cannot render the app?,gap,operations/03-risk-register.md
1417,Tribe Officer,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
1418,Tribe Officer,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
1419,New Player,Q050,Release,What are the biggest project risks?,yes,operations/03-risk-register.md
1420,Solo Scout,Q006,Object Resolution,Why does an object show as unresolved?,yes,architecture/04-entity-resolution.md
1421,Builder / Operator,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
1422,Solo Scout,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
1423,Solo Scout,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
1424,Tribe Officer,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
1425,New Player,Q006,Object Resolution,Why does an object show as unresolved?,yes,architecture/04-entity-resolution.md
1426,Tribe Member,Q011,Signals,What is a Signal?,yes,architecture/05-signal-domain-model.md; product/01-product-thesis.md
1427,Tribe Officer,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
1428,Solo Scout,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
1429,New Player,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
1430,New Player,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
1431,Intel Analyst,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
1432,Solo Scout,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
1433,Tribe Officer,Q052,Privacy,Who owns tribe data?,gap,phases/phase-08-tribe-vault.md
1434,New Player,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
1435,New Player,Q056,Support,How do I report wrong object classification?,partial,architecture/04-entity-resolution.md
1436,Developer / Maintainer,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
1437,Hauler,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
1438,Intel Analyst,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
1439,New Player,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1440,Solo Scout,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
1441,Builder / Operator,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
1442,Tribe Officer,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
1443,Hauler,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1444,New Player,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
1445,Builder / Operator,Q047,Backend,Do we use Supabase or custom API?,yes,architecture/02-backend-architecture.md
1446,Solo Scout,Q019,Dossiers,Can Signal Vault track markets?,yes,product/02-feature-to-gameplay-map.md; architecture/05-signal-domain-model.md
1447,New Player,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
1448,Tribe Member,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
1449,New Player,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
1450,New Player,Q009,Object Resolution,What if two sources disagree about object type?,yes,architecture/04-entity-resolution.md
1451,Hauler,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
1452,Builder / Operator,Q053,Support,How do I recover lost local drafts?,partial,phases/phase-06-local-first-sync.md
1453,Tribe Officer,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
1454,Hauler,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
1455,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1456,Builder / Operator,Q048,Backend,How are permissions enforced?,yes,architecture/08-security-and-permissions.md
1457,Intel Analyst,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
1458,Tribe Member,Q004,Identity/Auth,Does Signal Vault know my EVE character automatically?,partial,architecture/03-viewer-context.md; phases/phase-07-eve-frontier-integration.md
1459,New Player,Q058,Support,What happens if my tribe changes?,gap,architecture/03-viewer-context.md; phases/phase-08-tribe-vault.md
1460,New Player,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
1461,Solo Scout,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
1462,Hauler,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1463,Hauler,Q032,Map/Bridge,Will this replace EF-Map?,yes,product/01-product-thesis.md; decisions/ADR-006-no-graph-first.md
1464,Solo Scout,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
1465,New Player,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
1466,New Player,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
1467,Intel Analyst,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1468,Tribe Officer,Q052,Privacy,Who owns tribe data?,gap,phases/phase-08-tribe-vault.md
1469,Tribe Officer,Q033,Map/Bridge,Can it detect my current system?,partial,phases/phase-10-map-and-bridge.md
1470,Hauler,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1471,Solo Scout,Q013,Signals,Can I edit a Signal later?,yes,product/00-prd.md; phases/phase-04-signals-mvp.md
1472,Builder / Operator,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
1473,Intel Analyst,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
1474,Tribe Member,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
1475,Developer / Maintainer,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
1476,Developer / Maintainer,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
1477,New Player,Q005,Identity/Auth,Can someone spoof my identity by changing the URL?,yes,architecture/08-security-and-permissions.md; decisions/ADR-003-viewer-context.md
1478,Hauler,Q019,Dossiers,Can Signal Vault track markets?,yes,product/02-feature-to-gameplay-map.md; architecture/05-signal-domain-model.md
1479,Tribe Member,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
1480,Solo Scout,Q024,Contradictions,Does Signal Vault decide which report is true?,yes,product/02-feature-to-gameplay-map.md
1481,Tribe Member,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1482,Developer / Maintainer,Q015,Signals,Can anonymous users create public Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-02-viewer-context.md
1483,New Player,Q042,Developer,What dependencies are allowed?,yes,implementation/01-dependency-policy.md
1484,Tribe Officer,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
1485,Tribe Member,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
1486,Tribe Officer,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
1487,New Player,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1488,Tribe Member,Q011,Signals,What is a Signal?,yes,architecture/05-signal-domain-model.md; product/01-product-thesis.md
1489,New Player,Q009,Object Resolution,What if two sources disagree about object type?,yes,architecture/04-entity-resolution.md
1490,Tribe Officer,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
1491,Tribe Officer,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
1492,Solo Scout,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
1493,Builder / Operator,Q042,Developer,What dependencies are allowed?,yes,implementation/01-dependency-policy.md
1494,Hauler,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
1495,New Player,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
1496,Solo Scout,Q003,Identity/Auth,How do I log in inside the EVE Frontier in-game browser?,yes,architecture/03-viewer-context.md
1497,Hauler,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
1498,Builder / Operator,Q048,Backend,How are permissions enforced?,yes,architecture/08-security-and-permissions.md
1499,Hauler,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
1500,New Player,Q023,Contradictions,What does contradicted mean?,yes,product/02-feature-to-gameplay-map.md
1501,Tribe Officer,Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md
1502,New Player,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1503,Developer / Maintainer,Q049,Release,What must pass before release?,yes,operations/04-release-checklist.md
1504,Solo Scout,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
1505,Builder / Operator,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
1506,Tribe Member,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
1507,New Player,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
1508,New Player,Q055,Support,What if the in-game browser cannot render the app?,gap,operations/03-risk-register.md
1509,Tribe Officer,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
1510,New Player,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
1511,Builder / Operator,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1512,Tribe Officer,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1513,Tribe Officer,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
1514,Developer / Maintainer,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
1515,Solo Scout,Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md
1516,Intel Analyst,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
1517,Tribe Officer,Q013,Signals,Can I edit a Signal later?,yes,product/00-prd.md; phases/phase-04-signals-mvp.md
1518,Builder / Operator,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1519,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1520,New Player,Q010,Object Resolution,Can Signal Vault infer gate/storage/turret type from chain data?,partial,architecture/04-entity-resolution.md; phases/phase-07-eve-frontier-integration.md
1521,Hauler,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
1522,Builder / Operator,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
1523,Tribe Officer,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
1524,Tribe Officer,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
1525,Tribe Member,Q030,Tribe Vault,Can every tribe define its own trust rules?,partial,phases/phase-11-frontierwarden-integration.md
1526,Tribe Officer,Q048,Backend,How are permissions enforced?,yes,architecture/08-security-and-permissions.md
1527,Tribe Member,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
1528,Hauler,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
1529,New Player,Q046,Backend,What database schema do we use?,yes,implementation/05-database-schema.md
1530,Tribe Member,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1531,Solo Scout,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
1532,Intel Analyst,Q030,Tribe Vault,Can every tribe define its own trust rules?,partial,phases/phase-11-frontierwarden-integration.md
1533,Solo Scout,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
1534,Hauler,Q015,Signals,Can anonymous users create public Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-02-viewer-context.md
1535,Tribe Officer,Q030,Tribe Vault,Can every tribe define its own trust rules?,partial,phases/phase-11-frontierwarden-integration.md
1536,Hauler,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
1537,Tribe Officer,Q051,Privacy,Can I delete my Signals?,partial,phases/phase-04-signals-mvp.md; implementation/04-api-contracts.md
1538,Builder / Operator,Q047,Backend,Do we use Supabase or custom API?,yes,architecture/02-backend-architecture.md
1539,Builder / Operator,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1540,New Player,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
1541,New Player,Q036,Security,Can users see private tribe intel without logging in?,yes,architecture/08-security-and-permissions.md
1542,Hauler,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1543,Tribe Member,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
1544,New Player,Q060,Support,Can I attach screenshots/files?,gap,product/00-prd.md
1545,Tribe Member,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
1546,Tribe Officer,Q047,Backend,Do we use Supabase or custom API?,yes,architecture/02-backend-architecture.md
1547,New Player,Q006,Object Resolution,Why does an object show as unresolved?,yes,architecture/04-entity-resolution.md
1548,Builder / Operator,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
1549,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
1550,Builder / Operator,Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md
1551,Solo Scout,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
1552,New Player,Q045,Developer,Can an AI assistant rewrite App.tsx into a giant file?,yes,implementation/09-ai-coding-guardrails.md
1553,Builder / Operator,Q040,Developer,Why Vite/React instead of Next.js?,yes,decisions/ADR-001-stack-choice.md
1554,Solo Scout,Q008,Object Resolution,What does manual vs verified mean?,yes,architecture/04-entity-resolution.md
1555,Hauler,Q033,Map/Bridge,Can it detect my current system?,partial,phases/phase-10-map-and-bridge.md
1556,New Player,Q007,Object Resolution,Can I manually mark an object as a gate or storage unit?,yes,architecture/04-entity-resolution.md; phases/phase-03-entity-resolution.md
1557,New Player,Q004,Identity/Auth,Does Signal Vault know my EVE character automatically?,partial,architecture/03-viewer-context.md; phases/phase-07-eve-frontier-integration.md
1558,New Player,Q038,Security,Does Signal Vault store wallet private keys?,yes,architecture/08-security-and-permissions.md
1559,Tribe Member,Q019,Dossiers,Can Signal Vault track markets?,yes,product/02-feature-to-gameplay-map.md; architecture/05-signal-domain-model.md
1560,Solo Scout,Q032,Map/Bridge,Will this replace EF-Map?,yes,product/01-product-thesis.md; decisions/ADR-006-no-graph-first.md
1561,Solo Scout,Q013,Signals,Can I edit a Signal later?,yes,product/00-prd.md; phases/phase-04-signals-mvp.md
1562,Tribe Officer,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
1563,Builder / Operator,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
1564,Solo Scout,Q059,Support,Can I make a Signal public later?,partial,architecture/08-security-and-permissions.md
1565,Tribe Member,Q059,Support,Can I make a Signal public later?,partial,architecture/08-security-and-permissions.md
1566,Tribe Member,Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md
1567,Solo Scout,Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md
